construct_design_id,route,p450_entry,p450_system_type,redox_partner_requirement,thioesterase_entry,combined_design_feasibility_score,recommended_p450_action,p450_expression_module,redox_module,localization_module,p450_construct_risk,thioesterase_module,thioesterase_rationale,thioesterase_risk,route_module,precursor_support_module,expected_intermediates_to_monitor,route_specific_risk,minimal_negative_controls,positive_or_process_controls,construct_comparison_controls,primary_readout,construct_priority_tier
10H2DA_DESIGN_012,coa_bound_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.719519,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P41903 against Q6NT55-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_013,coa_bound_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.645513,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P41903 against P10611-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_014,free_acid_route,P14581,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.537128,secondary_priority_high_activity_but_expression_risk,express P14581 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14581+P41903 against P14581-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_015,free_acid_route,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.519869,secondary_priority_high_activity_but_expression_risk,express P10611 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10611+P41903 against P10611-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_016,free_acid_route,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.516328,secondary_priority_high_activity_but_expression_risk,express Q6NT55 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare Q6NT55+P41903 against Q6NT55-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_017,free_acid_route,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,P41903,21.495623,secondary_priority_high_activity_but_expression_risk,express P14580 as heterologous microsomal P450 secondary screen,requires CPR engineering; compare yeast NCP1/CPR1 support with cognate reductase if available,ER/microsomal context required; membrane expression and redox coupling are major risks,high,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P14580+P41903 against P14580-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_018,coa_bound_route,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P41903,21.261618,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P54781 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P54781+P41903 against P54781-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_019,coa_bound_route,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P41903,21.221929,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P10614 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,CoA-bound route: hydroxylate trans-dec-2-enoyl-CoA then hydrolyze 10H2DA-CoA,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; 10-hydroxy-trans-2-decenoyl-CoA; 10H2DA,CoA substrate is less proven for many omega-hydroxylases; thioesterase must accept hydroxylated CoA product,empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10614+P41903 against P10614-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_020,free_acid_route,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P41903,20.880461,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P10614 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P10614+P41903 against P10614-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
10H2DA_DESIGN_021,free_acid_route,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,P41903,20.790495,low_expression_risk_but_activity_validation_required,use endogenous yeast CYP candidate P54781 only as low-expression-risk exploratory arm,native yeast redox context likely sufficient if any activity exists,retain native localization; activity rather than expression is the main uncertainty,medium_high_activity_risk,use TES1/PTE1 as primary acyl-CoA thioesterase candidate,native peroxisomal long-chain acyl-CoA thioesterase; best endogenous family fit,medium_compartment_and_substrate_specificity,free-acid route: release trans-2-decenoate before omega-hydroxylation,maintain decanoate -> decanoyl-CoA -> trans-dec-2-enoyl-CoA support through FAA2/POX1/FOX2 context,trans-dec-2-enoyl-CoA; trans-2-decenoic acid; 10H2DA,"free acid availability and P450 substrate access may improve, but thioesterase must release the unsaturated acid first",empty vector; thioesterase-only; P450-only; no precursor feed or no precursor boost,verify precursor pool via trans-dec-2-enoyl-CoA/trans-2-decenoate readout before interpreting 10H2DA absence,compare P54781+P41903 against P54781-only and P41903-only to separate hydroxylation from hydrolysis limits,LC-MS or equivalent targeted assay for 10H2DA plus route intermediates; do not use growth/FBA flux alone as success readout,tier3_secondary_screen
